CPU Overall Power Consumption,GPU Power,FPS
99.895,305.353,113
104.135,341.418,146
107.012,345.209,147
105.918,342.61,150
103.853,345.456,152
101.549,309.994,145
104.649,344.323,147
105.539,347.015,160
104.788,346.303,155
105.518,345.247,151
109.849,346.627,164
106.089,342.611,148
116.077,341.579,147
116.602,345.929,150
109.063,343.503,148
109.217,344.779,136
109.465,341.47,140
107.792,345.696,141
108.815,347.211,143
106.272,345.8,148
106.445,347.682,165
105.63,347.765,162
106.471,345.328,155
106.148,347.72,152
106.56,347.418,157
111.277,341.161,155
127.952,342.376,145
112.364,347.423,149
113.217,345.029,148
117.926,347.816,155
106.168,345.567,153
106.057,347.363,155
110.762,342.458,145
113.884,339.765,135
113.995,347.074,141
113.656,343.621,139
112.484,342.827,138
113.528,343.377,136
114.377,344.093,137
113.913,344.191,137
112.828,346.749,140
112.623,340.697,136
113.328,348.527,144
109.219,347.177,137
111.741,343.561,139
110.826,346.933,138
111.694,347.457,142
112.573,346.049,146
112.609,343.389,143
113.74,348.862,142
112.831,343.11,135
114.967,344.175,135
114.149,346.736,145
110.331,345.801,142
111.254,345.75,138
111.541,347.027,137
113.233,345.901,137
112.32,347.426,136
113.068,348.346,127
106.405,344.896,135
106.662,348.053,132
108.942,347.244,137
109.044,347.404,139
107.223,347.506,137
109.053,347.89,137
108.239,348.388,142
111.698,347.712,141
109.595,347.612,140
110.682,348.242,152
108.081,348.184,148
107.598,347.54,140
106.853,348.332,153
106.862,348.247,148
107.706,346.584,153
106.618,344.527,153
106.862,347.412,156
105.654,346.355,156
112.579,346.895,153
116.24,345.908,153
113.979,347.689,149
111.013,343.819,155
118.161,345.33,151
109.218,346.714,158
110.751,345.547,155
112.065,347.944,177
109.649,345.727,174
111.561,343.129,183
109.416,345.281,168
111.615,346.936,155
111.719,347.175,163
110.568,347.372,147
109.181,329.481,132
108.442,344.193,159
109.637,344.73,157
108.856,347.318,151
111.104,341.206,136
111.142,344.633,156
112.171,348.322,150
112.262,346.231,150
127.778,325.658,129
142.074,323.991,127
115.38,344.347,132
111.335,345.591,149
116.339,348.116,148
119.702,344.957,144
138.404,334.376,131
114.055,340.943,148
112.974,343.971,146
115.973,347.208,171
117.544,345.127,180
117.538,346.756,169
118.05,348.124,170
117.595,346.571,171
116.899,345.641,168
114.544,344.323,163
117.247,346.137,167
117.963,347.199,171
119.01,346.589,179
117.467,345.154,175
115.092,345.659,165
117.574,347.105,168
118.289,347.625,170
115.282,345.936,166
114.542,344.463,162
116.913,343.653,166
117.413,346.365,167
116.712,345.074,168
116.533,342.807,162
117.12,347.333,168
118.514,347.243,181
118.892,347.398,182
116.768,344.873,159
112.657,329.387,163
115.622,340.807,155
117.883,342.398,160
115.844,334.994,148
117.171,340.583,163
117.513,342.355,180
118.884,342.124,188
111.463,337.987,165
112.884,343.732,159
115.554,344.444,172
115.185,346.86,188
115.378,340.382,168
114.309,342.162,182
117.1,345.145,184
115.739,342.397,169
118.663,342.292,166
115.68,341.427,164
126.775,343.745,165
125.649,345.78,166
124.851,345.994,171
121.483,339.324,177
125.157,346.455,166
126.742,344.35,163
125.508,341.312,170
125.417,344.095,167
124.835,339.826,163
123.253,340.772,186
125.284,340.165,171
130.563,343.702,164
131.595,341.171,168
131.214,340.832,164
130.664,340.335,176
125.666,341.205,174
125.604,338.802,168
125.112,341.207,171
124.116,340.279,180
123.267,342.826,168
125.706,342.799,139
126.555,345.817,147
124.894,344.287,155
120.706,331.568,149
120.416,326.908,138
125.1,326.154,136
124.698,325.75,133
124.88,324.574,131
124.398,328.263,132
125.268,331.78,134
122.617,285.241,172
123.14,324.464,136
125.42,331.434,154
125.671,327.75,147
102.038,169.477,130
130.909,77.016,117
149.543,72.97,123
122.309,217.182,130
131.422,328.969,124
131.861,338.46,121
129.41,334.172,129
130.951,332.291,132
130.229,334.692,128
130.706,337.686,131
128.39,342.322,132
128.051,337.629,135
125.681,338.594,139
126.152,343.513,135
124.926,345.928,138
127.318,337.049,136
122.587,346.168,138
126.758,332.369,128
127.501,337.829,141
127.801,343.969,144
119.336,342.95,150
117.917,344.021,152
121.733,346.714,150
121.813,348.677,148
120.349,336.121,158
120.318,343.64,153
122.248,342.267,152
124.758,341.204,140
126.552,338.9,140
124.674,340.748,137
125.503,341.242,143
124.905,338.815,140
125.249,342.217,135
124.464,339.383,141
123.365,342.678,139
123.032,337.654,137
122.366,339.387,136
122.022,339.583,137
123.156,338.953,143
126.521,342.444,137
127.275,339.087,133
121.721,340.85,155
120.551,342.953,145
125.422,339.12,140
122.505,343.572,159
121.419,340.42,163
125.519,336.436,149
133.143,334.689,145
128.402,340.49,146
124.041,344.924,154
120.265,342.489,157
122.069,342.893,149
122.066,340.904,146
122.15,341.609,148
121.157,341.412,148
121.298,342.006,148
122.173,341.623,147
121.119,341.528,149
121.544,341.69,149
121.607,341.01,147
130.813,334.216,123
131.111,326.999,123
130.453,331.748,123
126.267,348.062,149
124.801,346.679,147
128.264,330.76,108
129.783,333.755,111
130.737,342.763,138
128.16,345.276,149
120.304,343.379,156
120.929,342.899,150
124.638,340.732,143
128.492,340.848,138
127.094,338.514,142
126.069,345.89,146
124.683,339.879,153
123.111,339.165,166
126.568,340.205,153
130.763,342.397,154
130.94,339.299,159
129.026,340.789,149
130.493,340.962,138
124.949,338.316,161
132.005,341.04,160
125.112,343.243,155
122.553,343.453,152
122.461,343.927,152
124.389,343.136,148
124.402,341.548,154
124.905,341.23,151
124.831,340.058,142
123.039,345.727,145
123.325,345.454,145
123.274,344.57,144
122.586,345.082,144
122.888,345.917,145
122.416,341.104,152
121.025,342.891,153
120.885,345.354,142
120.596,345.72,142
122.272,340.527,143
121.876,341.683,149
120.361,340.268,153
120.326,341.298,146
126.176,346.218,144
129.049,340.218,144
129.042,343.674,146
128.622,339.992,146
123.455,337.515,155
124.447,342.72,151
126.127,343.817,151
125.231,344.843,151
130.176,341.932,148
127.161,338.469,152
122.663,335.212,168
121.55,340.834,171
121.854,337.193,175
120.737,336.661,172
123.285,341.252,157
122.902,337.675,158
121.832,339.187,161
129.046,342.997,145
125.925,340.604,145
128.102,342.135,146
128.482,341.411,140
126.48,341.336,142
133.094,335.357,190
125.367,344.251,138
123.103,342.322,143
119.983,338.911,154
121.003,346.846,166
123.554,341.443,170
121.921,342.819,182
122.025,342.664,155
118.977,340.431,154
122.502,342.765,169
122.896,340.911,160
123.606,338.316,150
122.928,342.89,139
124.121,344.415,147
119.887,340.423,147
121.956,345.611,148
121.059,344.933,149
121.028,345.618,148
120.993,340.419,137
118.85,340.545,138
120.222,338.834,138
120.234,342.68,137
119.291,343.468,141
120.406,338.622,139
120.37,335.201,139
119.446,339.77,139
120.944,340.388,140
118.986,342.074,135
118.204,341.822,135
118.414,341.149,134
121.125,338.815,139
119.729,343.193,139
119.472,343.672,139
126.237,334.349,131
130.712,343.049,136
128.453,341.61,143
124.874,338.708,155
123.481,339.349,158
124.379,338.465,141
130.675,341.829,142
127.233,340.254,146
123.902,343.341,150
121.805,344.386,148
124.514,342.265,144
123.537,340.903,152
128.37,338.444,140
123.338,341.284,146
125.611,342.561,148
124.811,344.119,152
132.364,341.389,154
126.07,340.332,152
124.193,339.313,136
138.726,315.486,115
138.17,332.811,126
129.394,334.223,134
128.105,337.465,131
127.79,340.395,135
129.56,334.496,151
126.005,333.221,140
124.837,338.551,136
123.941,338.889,138
124.581,336.948,154
123.395,335.233,156
123.708,335.742,154
125.842,344.318,155
126.047,345.252,155
125.728,346.889,156
123.522,337.234,148
124.083,340.004,148
124.07,336.73,149
124.401,336.081,147
124.162,341.095,143
125.203,340.286,141
125.255,341.817,141
126.166,346.13,140
126.703,333.679,130
128.039,339.827,135
134.092,333.879,124
128.834,334.988,146
126.961,335.305,151
126.233,343.691,141
126.062,341.441,131
126.602,343.514,135
126.639,343.012,130
126.816,342.882,131
126.873,334.102,134
127.042,333.204,134
129.254,334.192,134
127.977,335.893,132
127.27,338.829,129
125.398,334.297,146
127.072,334.461,135
128.005,332.589,128
127.869,340.791,136
127.674,342.203,129
128.726,340.789,124
129.163,336.068,125
128.682,338.912,123
128.946,336.163,127
127.716,336.184,124
127.391,334.573,125
128.27,333.996,128
128.203,340.003,135
127.321,335.717,138
126.081,339.674,138
126.81,345.117,145
127.675,342.993,138
127.772,342.3,139
127.694,342.618,142
125.551,336.29,134
125.31,338.596,135
128.367,338.396,125
131.066,338.898,124
127.76,337.359,133
127.522,338.461,133
127.148,339.91,130
129.453,338.617,127
128.508,340.704,153
128.608,343.264,133
127.613,343.243,132
127.076,344.439,130
129.658,335.479,114
130.258,333.866,123
132.348,337.005,118
127.611,335.329,130
128.725,342.222,132
128.314,346.779,130
130.329,343.875,120
128.029,342.261,145
128.373,344.987,120
129.33,338.64,117
128.286,337.975,125
130.041,343.147,113
